开盘,收盘,股票代码,日期,day,month,year
2.884,2.884,510050,2022-07-27 09:30:00,27,7,2022
2.882,2.882,510050,2022-07-27 09:31:00,27,7,2022
2.88,2.88,510050,2022-07-27 09:32:00,27,7,2022
2.882,2.882,510050,2022-07-27 09:33:00,27,7,2022
2.886,2.886,510050,2022-07-27 09:34:00,27,7,2022
2.882,2.882,510050,2022-07-27 09:35:00,27,7,2022
2.882,2.882,510050,2022-07-27 09:36:00,27,7,2022
2.882,2.882,510050,2022-07-27 09:37:00,27,7,2022
2.883,2.883,510050,2022-07-27 09:38:00,27,7,2022
2.881,2.881,510050,2022-07-27 09:39:00,27,7,2022
2.882,2.882,510050,2022-07-27 09:40:00,27,7,2022
2.879,2.879,510050,2022-07-27 09:41:00,27,7,2022
2.878,2.878,510050,2022-07-27 09:42:00,27,7,2022
2.878,2.878,510050,2022-07-27 09:43:00,27,7,2022
2.878,2.878,510050,2022-07-27 09:44:00,27,7,2022
2.877,2.877,510050,2022-07-27 09:45:00,27,7,2022
2.877,2.877,510050,2022-07-27 09:46:00,27,7,2022
2.876,2.876,510050,2022-07-27 09:47:00,27,7,2022
2.876,2.876,510050,2022-07-27 09:48:00,27,7,2022
2.877,2.877,510050,2022-07-27 09:49:00,27,7,2022
2.878,2.878,510050,2022-07-27 09:50:00,27,7,2022
2.877,2.877,510050,2022-07-27 09:51:00,27,7,2022
2.878,2.878,510050,2022-07-27 09:52:00,27,7,2022
2.878,2.878,510050,2022-07-27 09:53:00,27,7,2022
2.878,2.878,510050,2022-07-27 09:54:00,27,7,2022
2.877,2.877,510050,2022-07-27 09:55:00,27,7,2022
2.878,2.878,510050,2022-07-27 09:56:00,27,7,2022
2.877,2.877,510050,2022-07-27 09:57:00,27,7,2022
2.877,2.877,510050,2022-07-27 09:58:00,27,7,2022
2.876,2.876,510050,2022-07-27 09:59:00,27,7,2022
2.878,2.878,510050,2022-07-27 10:00:00,27,7,2022
2.879,2.879,510050,2022-07-27 10:01:00,27,7,2022
2.878,2.878,510050,2022-07-27 10:02:00,27,7,2022
2.877,2.877,510050,2022-07-27 10:03:00,27,7,2022
2.874,2.874,510050,2022-07-27 10:04:00,27,7,2022
2.872,2.872,510050,2022-07-27 10:05:00,27,7,2022
2.873,2.873,510050,2022-07-27 10:06:00,27,7,2022
2.871,2.871,510050,2022-07-27 10:07:00,27,7,2022
2.871,2.871,510050,2022-07-27 10:08:00,27,7,2022
2.873,2.873,510050,2022-07-27 10:09:00,27,7,2022
2.873,2.873,510050,2022-07-27 10:10:00,27,7,2022
2.874,2.874,510050,2022-07-27 10:11:00,27,7,2022
2.873,2.873,510050,2022-07-27 10:12:00,27,7,2022
2.874,2.874,510050,2022-07-27 10:13:00,27,7,2022
2.874,2.874,510050,2022-07-27 10:14:00,27,7,2022
2.874,2.874,510050,2022-07-27 10:15:00,27,7,2022
2.874,2.874,510050,2022-07-27 10:16:00,27,7,2022
2.874,2.874,510050,2022-07-27 10:17:00,27,7,2022
2.875,2.875,510050,2022-07-27 10:18:00,27,7,2022
2.877,2.877,510050,2022-07-27 10:19:00,27,7,2022
2.879,2.879,510050,2022-07-27 10:20:00,27,7,2022
2.879,2.879,510050,2022-07-27 10:21:00,27,7,2022
2.88,2.88,510050,2022-07-27 10:22:00,27,7,2022
2.88,2.88,510050,2022-07-27 10:23:00,27,7,2022
2.879,2.879,510050,2022-07-27 10:24:00,27,7,2022
2.88,2.88,510050,2022-07-27 10:25:00,27,7,2022
2.88,2.88,510050,2022-07-27 10:26:00,27,7,2022
2.879,2.879,510050,2022-07-27 10:27:00,27,7,2022
2.878,2.878,510050,2022-07-27 10:28:00,27,7,2022
2.878,2.878,510050,2022-07-27 10:29:00,27,7,2022
