开盘,收盘,股票代码,日期,day,month,year
3.055,3.055,510050,2022-07-06 09:30:00,6,7,2022
3.049,3.049,510050,2022-07-06 09:31:00,6,7,2022
3.049,3.049,510050,2022-07-06 09:32:00,6,7,2022
3.049,3.049,510050,2022-07-06 09:33:00,6,7,2022
3.053,3.053,510050,2022-07-06 09:34:00,6,7,2022
3.051,3.051,510050,2022-07-06 09:35:00,6,7,2022
3.053,3.053,510050,2022-07-06 09:36:00,6,7,2022
3.048,3.048,510050,2022-07-06 09:37:00,6,7,2022
3.042,3.042,510050,2022-07-06 09:38:00,6,7,2022
3.038,3.038,510050,2022-07-06 09:39:00,6,7,2022
3.036,3.036,510050,2022-07-06 09:40:00,6,7,2022
3.037,3.037,510050,2022-07-06 09:41:00,6,7,2022
3.037,3.037,510050,2022-07-06 09:42:00,6,7,2022
3.036,3.036,510050,2022-07-06 09:43:00,6,7,2022
3.032,3.032,510050,2022-07-06 09:44:00,6,7,2022
3.039,3.039,510050,2022-07-06 09:45:00,6,7,2022
3.04,3.04,510050,2022-07-06 09:46:00,6,7,2022
3.041,3.041,510050,2022-07-06 09:47:00,6,7,2022
3.04,3.04,510050,2022-07-06 09:48:00,6,7,2022
3.04,3.04,510050,2022-07-06 09:49:00,6,7,2022
3.039,3.039,510050,2022-07-06 09:50:00,6,7,2022
3.041,3.041,510050,2022-07-06 09:51:00,6,7,2022
3.045,3.045,510050,2022-07-06 09:52:00,6,7,2022
3.043,3.043,510050,2022-07-06 09:53:00,6,7,2022
3.045,3.045,510050,2022-07-06 09:54:00,6,7,2022
3.045,3.045,510050,2022-07-06 09:55:00,6,7,2022
3.044,3.044,510050,2022-07-06 09:56:00,6,7,2022
3.042,3.042,510050,2022-07-06 09:57:00,6,7,2022
3.039,3.039,510050,2022-07-06 09:58:00,6,7,2022
3.039,3.039,510050,2022-07-06 09:59:00,6,7,2022
3.039,3.039,510050,2022-07-06 10:00:00,6,7,2022
3.038,3.038,510050,2022-07-06 10:01:00,6,7,2022
3.04,3.04,510050,2022-07-06 10:02:00,6,7,2022
3.043,3.043,510050,2022-07-06 10:03:00,6,7,2022
3.043,3.043,510050,2022-07-06 10:04:00,6,7,2022
3.043,3.043,510050,2022-07-06 10:05:00,6,7,2022
3.044,3.044,510050,2022-07-06 10:06:00,6,7,2022
3.04,3.04,510050,2022-07-06 10:07:00,6,7,2022
3.041,3.041,510050,2022-07-06 10:08:00,6,7,2022
3.037,3.037,510050,2022-07-06 10:09:00,6,7,2022
3.037,3.037,510050,2022-07-06 10:10:00,6,7,2022
3.038,3.038,510050,2022-07-06 10:11:00,6,7,2022
3.036,3.036,510050,2022-07-06 10:12:00,6,7,2022
3.034,3.034,510050,2022-07-06 10:13:00,6,7,2022
3.036,3.036,510050,2022-07-06 10:14:00,6,7,2022
3.033,3.033,510050,2022-07-06 10:15:00,6,7,2022
3.036,3.036,510050,2022-07-06 10:16:00,6,7,2022
3.034,3.034,510050,2022-07-06 10:17:00,6,7,2022
3.034,3.034,510050,2022-07-06 10:18:00,6,7,2022
3.034,3.034,510050,2022-07-06 10:19:00,6,7,2022
3.033,3.033,510050,2022-07-06 10:20:00,6,7,2022
3.036,3.036,510050,2022-07-06 10:21:00,6,7,2022
3.033,3.033,510050,2022-07-06 10:22:00,6,7,2022
3.029,3.029,510050,2022-07-06 10:23:00,6,7,2022
3.027,3.027,510050,2022-07-06 10:24:00,6,7,2022
3.028,3.028,510050,2022-07-06 10:25:00,6,7,2022
3.026,3.026,510050,2022-07-06 10:26:00,6,7,2022
3.025,3.025,510050,2022-07-06 10:27:00,6,7,2022
3.023,3.023,510050,2022-07-06 10:28:00,6,7,2022
3.025,3.025,510050,2022-07-06 10:29:00,6,7,2022
3.027,3.027,510050,2022-07-06 10:30:00,6,7,2022
3.027,3.027,510050,2022-07-06 10:31:00,6,7,2022
3.03,3.03,510050,2022-07-06 10:32:00,6,7,2022
3.031,3.031,510050,2022-07-06 10:33:00,6,7,2022
3.032,3.032,510050,2022-07-06 10:34:00,6,7,2022
3.03,3.03,510050,2022-07-06 10:35:00,6,7,2022
3.034,3.034,510050,2022-07-06 10:36:00,6,7,2022
3.034,3.034,510050,2022-07-06 10:37:00,6,7,2022
3.034,3.034,510050,2022-07-06 10:38:00,6,7,2022
3.033,3.033,510050,2022-07-06 10:39:00,6,7,2022
3.032,3.032,510050,2022-07-06 10:40:00,6,7,2022
3.031,3.031,510050,2022-07-06 10:41:00,6,7,2022
3.029,3.029,510050,2022-07-06 10:42:00,6,7,2022
3.028,3.028,510050,2022-07-06 10:43:00,6,7,2022
3.027,3.027,510050,2022-07-06 10:44:00,6,7,2022
3.028,3.028,510050,2022-07-06 10:45:00,6,7,2022
3.028,3.028,510050,2022-07-06 10:46:00,6,7,2022
3.03,3.03,510050,2022-07-06 10:47:00,6,7,2022
3.026,3.026,510050,2022-07-06 10:48:00,6,7,2022
3.023,3.023,510050,2022-07-06 10:49:00,6,7,2022
3.023,3.023,510050,2022-07-06 10:50:00,6,7,2022
3.022,3.022,510050,2022-07-06 10:51:00,6,7,2022
3.019,3.019,510050,2022-07-06 10:52:00,6,7,2022
3.021,3.021,510050,2022-07-06 10:53:00,6,7,2022
3.02,3.02,510050,2022-07-06 10:54:00,6,7,2022
3.018,3.018,510050,2022-07-06 10:55:00,6,7,2022
3.018,3.018,510050,2022-07-06 10:56:00,6,7,2022
3.018,3.018,510050,2022-07-06 10:57:00,6,7,2022
3.018,3.018,510050,2022-07-06 10:58:00,6,7,2022
3.02,3.02,510050,2022-07-06 10:59:00,6,7,2022
3.022,3.022,510050,2022-07-06 11:00:00,6,7,2022
3.019,3.019,510050,2022-07-06 11:01:00,6,7,2022
3.02,3.02,510050,2022-07-06 11:02:00,6,7,2022
3.019,3.019,510050,2022-07-06 11:03:00,6,7,2022
