开盘,收盘,股票代码,日期,day,month,year
3.002,3.002,510050,2022-07-07 09:30:00,7,7,2022
3.005,3.005,510050,2022-07-07 09:31:00,7,7,2022
3.002,3.002,510050,2022-07-07 09:32:00,7,7,2022
3.002,3.002,510050,2022-07-07 09:33:00,7,7,2022
3.0,3.0,510050,2022-07-07 09:34:00,7,7,2022
2.997,2.997,510050,2022-07-07 09:35:00,7,7,2022
3.002,3.002,510050,2022-07-07 09:36:00,7,7,2022
2.998,2.998,510050,2022-07-07 09:37:00,7,7,2022
3.002,3.002,510050,2022-07-07 09:38:00,7,7,2022
2.998,2.998,510050,2022-07-07 09:39:00,7,7,2022
2.998,2.998,510050,2022-07-07 09:40:00,7,7,2022
2.997,2.997,510050,2022-07-07 09:41:00,7,7,2022
3.0,3.0,510050,2022-07-07 09:42:00,7,7,2022
2.997,2.997,510050,2022-07-07 09:43:00,7,7,2022
2.998,2.998,510050,2022-07-07 09:44:00,7,7,2022
2.994,2.994,510050,2022-07-07 09:45:00,7,7,2022
2.993,2.993,510050,2022-07-07 09:46:00,7,7,2022
2.991,2.991,510050,2022-07-07 09:47:00,7,7,2022
2.988,2.988,510050,2022-07-07 09:48:00,7,7,2022
2.985,2.985,510050,2022-07-07 09:49:00,7,7,2022
2.989,2.989,510050,2022-07-07 09:50:00,7,7,2022
2.992,2.992,510050,2022-07-07 09:51:00,7,7,2022
2.993,2.993,510050,2022-07-07 09:52:00,7,7,2022
2.992,2.992,510050,2022-07-07 09:53:00,7,7,2022
2.992,2.992,510050,2022-07-07 09:54:00,7,7,2022
2.991,2.991,510050,2022-07-07 09:55:00,7,7,2022
2.99,2.99,510050,2022-07-07 09:56:00,7,7,2022
2.991,2.991,510050,2022-07-07 09:57:00,7,7,2022
2.992,2.992,510050,2022-07-07 09:58:00,7,7,2022
2.995,2.995,510050,2022-07-07 09:59:00,7,7,2022
2.998,2.998,510050,2022-07-07 10:00:00,7,7,2022
3.001,3.001,510050,2022-07-07 10:01:00,7,7,2022
3.003,3.003,510050,2022-07-07 10:02:00,7,7,2022
3.003,3.003,510050,2022-07-07 10:03:00,7,7,2022
3.004,3.004,510050,2022-07-07 10:04:00,7,7,2022
3.002,3.002,510050,2022-07-07 10:05:00,7,7,2022
3.002,3.002,510050,2022-07-07 10:06:00,7,7,2022
3.003,3.003,510050,2022-07-07 10:07:00,7,7,2022
3.002,3.002,510050,2022-07-07 10:08:00,7,7,2022
3.003,3.003,510050,2022-07-07 10:09:00,7,7,2022
3.002,3.002,510050,2022-07-07 10:10:00,7,7,2022
3.003,3.003,510050,2022-07-07 10:11:00,7,7,2022
2.999,2.999,510050,2022-07-07 10:12:00,7,7,2022
2.997,2.997,510050,2022-07-07 10:13:00,7,7,2022
3.0,3.0,510050,2022-07-07 10:14:00,7,7,2022
3.002,3.002,510050,2022-07-07 10:15:00,7,7,2022
3.0,3.0,510050,2022-07-07 10:16:00,7,7,2022
3.003,3.003,510050,2022-07-07 10:17:00,7,7,2022
3.004,3.004,510050,2022-07-07 10:18:00,7,7,2022
3.008,3.008,510050,2022-07-07 10:19:00,7,7,2022
3.007,3.007,510050,2022-07-07 10:20:00,7,7,2022
3.006,3.006,510050,2022-07-07 10:21:00,7,7,2022
3.005,3.005,510050,2022-07-07 10:22:00,7,7,2022
3.008,3.008,510050,2022-07-07 10:23:00,7,7,2022
3.007,3.007,510050,2022-07-07 10:24:00,7,7,2022
3.005,3.005,510050,2022-07-07 10:25:00,7,7,2022
3.003,3.003,510050,2022-07-07 10:26:00,7,7,2022
3.003,3.003,510050,2022-07-07 10:27:00,7,7,2022
3.004,3.004,510050,2022-07-07 10:28:00,7,7,2022
3.004,3.004,510050,2022-07-07 10:29:00,7,7,2022
3.004,3.004,510050,2022-07-07 10:30:00,7,7,2022
3.003,3.003,510050,2022-07-07 10:31:00,7,7,2022
3.003,3.003,510050,2022-07-07 10:32:00,7,7,2022
3.001,3.001,510050,2022-07-07 10:33:00,7,7,2022
3.005,3.005,510050,2022-07-07 10:34:00,7,7,2022
3.007,3.007,510050,2022-07-07 10:35:00,7,7,2022
3.008,3.008,510050,2022-07-07 10:36:00,7,7,2022
3.008,3.008,510050,2022-07-07 10:37:00,7,7,2022
3.007,3.007,510050,2022-07-07 10:38:00,7,7,2022
3.008,3.008,510050,2022-07-07 10:39:00,7,7,2022
3.007,3.007,510050,2022-07-07 10:40:00,7,7,2022
3.008,3.008,510050,2022-07-07 10:41:00,7,7,2022
3.008,3.008,510050,2022-07-07 10:42:00,7,7,2022
3.01,3.01,510050,2022-07-07 10:43:00,7,7,2022
3.008,3.008,510050,2022-07-07 10:44:00,7,7,2022
3.007,3.007,510050,2022-07-07 10:45:00,7,7,2022
3.008,3.008,510050,2022-07-07 10:46:00,7,7,2022
3.009,3.009,510050,2022-07-07 10:47:00,7,7,2022
3.011,3.011,510050,2022-07-07 10:48:00,7,7,2022
3.01,3.01,510050,2022-07-07 10:49:00,7,7,2022
3.011,3.011,510050,2022-07-07 10:50:00,7,7,2022
3.012,3.012,510050,2022-07-07 10:51:00,7,7,2022
3.01,3.01,510050,2022-07-07 10:52:00,7,7,2022
3.011,3.011,510050,2022-07-07 10:53:00,7,7,2022
3.008,3.008,510050,2022-07-07 10:54:00,7,7,2022
3.009,3.009,510050,2022-07-07 10:55:00,7,7,2022
3.008,3.008,510050,2022-07-07 10:56:00,7,7,2022
3.007,3.007,510050,2022-07-07 10:57:00,7,7,2022
3.006,3.006,510050,2022-07-07 10:58:00,7,7,2022
3.006,3.006,510050,2022-07-07 10:59:00,7,7,2022
3.008,3.008,510050,2022-07-07 11:00:00,7,7,2022
3.006,3.006,510050,2022-07-07 11:01:00,7,7,2022
3.007,3.007,510050,2022-07-07 11:02:00,7,7,2022
3.007,3.007,510050,2022-07-07 11:03:00,7,7,2022
3.004,3.004,510050,2022-07-07 11:04:00,7,7,2022
3.004,3.004,510050,2022-07-07 11:05:00,7,7,2022
3.004,3.004,510050,2022-07-07 11:06:00,7,7,2022
3.002,3.002,510050,2022-07-07 11:07:00,7,7,2022
3.004,3.004,510050,2022-07-07 11:08:00,7,7,2022
3.005,3.005,510050,2022-07-07 11:09:00,7,7,2022
3.005,3.005,510050,2022-07-07 11:10:00,7,7,2022
3.007,3.007,510050,2022-07-07 11:11:00,7,7,2022
3.005,3.005,510050,2022-07-07 11:12:00,7,7,2022
3.006,3.006,510050,2022-07-07 11:13:00,7,7,2022
3.005,3.005,510050,2022-07-07 11:14:00,7,7,2022
3.005,3.005,510050,2022-07-07 11:15:00,7,7,2022
3.006,3.006,510050,2022-07-07 11:16:00,7,7,2022
3.009,3.009,510050,2022-07-07 11:17:00,7,7,2022
3.011,3.011,510050,2022-07-07 11:18:00,7,7,2022
3.011,3.011,510050,2022-07-07 11:19:00,7,7,2022
3.013,3.013,510050,2022-07-07 11:20:00,7,7,2022
3.012,3.012,510050,2022-07-07 11:21:00,7,7,2022
3.016,3.016,510050,2022-07-07 11:22:00,7,7,2022
3.015,3.015,510050,2022-07-07 11:23:00,7,7,2022
3.015,3.015,510050,2022-07-07 11:24:00,7,7,2022
3.015,3.015,510050,2022-07-07 11:25:00,7,7,2022
3.014,3.014,510050,2022-07-07 11:26:00,7,7,2022
3.017,3.017,510050,2022-07-07 11:27:00,7,7,2022
3.017,3.017,510050,2022-07-07 11:28:00,7,7,2022
3.019,3.019,510050,2022-07-07 11:29:00,7,7,2022
3.018,3.018,510050,2022-07-07 11:30:00,7,7,2022
3.019,3.019,510050,2022-07-07 13:01:00,7,7,2022
3.017,3.017,510050,2022-07-07 13:02:00,7,7,2022
3.017,3.017,510050,2022-07-07 13:03:00,7,7,2022
3.015,3.015,510050,2022-07-07 13:04:00,7,7,2022
3.016,3.016,510050,2022-07-07 13:05:00,7,7,2022
3.016,3.016,510050,2022-07-07 13:06:00,7,7,2022
3.014,3.014,510050,2022-07-07 13:07:00,7,7,2022
3.014,3.014,510050,2022-07-07 13:08:00,7,7,2022
3.014,3.014,510050,2022-07-07 13:09:00,7,7,2022
3.013,3.013,510050,2022-07-07 13:10:00,7,7,2022
3.013,3.013,510050,2022-07-07 13:11:00,7,7,2022
3.013,3.013,510050,2022-07-07 13:12:00,7,7,2022
3.015,3.015,510050,2022-07-07 13:13:00,7,7,2022
3.015,3.015,510050,2022-07-07 13:14:00,7,7,2022
3.014,3.014,510050,2022-07-07 13:15:00,7,7,2022
3.014,3.014,510050,2022-07-07 13:16:00,7,7,2022
3.015,3.015,510050,2022-07-07 13:17:00,7,7,2022
3.016,3.016,510050,2022-07-07 13:18:00,7,7,2022
3.015,3.015,510050,2022-07-07 13:19:00,7,7,2022
3.014,3.014,510050,2022-07-07 13:20:00,7,7,2022
3.012,3.012,510050,2022-07-07 13:21:00,7,7,2022
