开盘,收盘,股票代码,日期,day,month,year
2.911,2.911,510050,2022-07-15 09:30:00,15,7,2022
2.908,2.908,510050,2022-07-15 09:31:00,15,7,2022
2.913,2.913,510050,2022-07-15 09:32:00,15,7,2022
2.913,2.913,510050,2022-07-15 09:33:00,15,7,2022
2.917,2.917,510050,2022-07-15 09:34:00,15,7,2022
2.914,2.914,510050,2022-07-15 09:35:00,15,7,2022
2.912,2.912,510050,2022-07-15 09:36:00,15,7,2022
2.914,2.914,510050,2022-07-15 09:37:00,15,7,2022
2.912,2.912,510050,2022-07-15 09:38:00,15,7,2022
2.912,2.912,510050,2022-07-15 09:39:00,15,7,2022
2.915,2.915,510050,2022-07-15 09:40:00,15,7,2022
2.916,2.916,510050,2022-07-15 09:41:00,15,7,2022
2.916,2.916,510050,2022-07-15 09:42:00,15,7,2022
2.919,2.919,510050,2022-07-15 09:43:00,15,7,2022
2.92,2.92,510050,2022-07-15 09:44:00,15,7,2022
2.918,2.918,510050,2022-07-15 09:45:00,15,7,2022
2.919,2.919,510050,2022-07-15 09:46:00,15,7,2022
2.922,2.922,510050,2022-07-15 09:47:00,15,7,2022
2.921,2.921,510050,2022-07-15 09:48:00,15,7,2022
2.92,2.92,510050,2022-07-15 09:49:00,15,7,2022
2.918,2.918,510050,2022-07-15 09:50:00,15,7,2022
2.92,2.92,510050,2022-07-15 09:51:00,15,7,2022
2.923,2.923,510050,2022-07-15 09:52:00,15,7,2022
2.926,2.926,510050,2022-07-15 09:53:00,15,7,2022
2.927,2.927,510050,2022-07-15 09:54:00,15,7,2022
2.926,2.926,510050,2022-07-15 09:55:00,15,7,2022
2.926,2.926,510050,2022-07-15 09:56:00,15,7,2022
2.931,2.931,510050,2022-07-15 09:57:00,15,7,2022
2.932,2.932,510050,2022-07-15 09:58:00,15,7,2022
2.932,2.932,510050,2022-07-15 09:59:00,15,7,2022
2.932,2.932,510050,2022-07-15 10:00:00,15,7,2022
2.931,2.931,510050,2022-07-15 10:01:00,15,7,2022
2.931,2.931,510050,2022-07-15 10:02:00,15,7,2022
2.933,2.933,510050,2022-07-15 10:03:00,15,7,2022
2.937,2.937,510050,2022-07-15 10:04:00,15,7,2022
2.938,2.938,510050,2022-07-15 10:05:00,15,7,2022
2.942,2.942,510050,2022-07-15 10:06:00,15,7,2022
2.943,2.943,510050,2022-07-15 10:07:00,15,7,2022
2.943,2.943,510050,2022-07-15 10:08:00,15,7,2022
2.945,2.945,510050,2022-07-15 10:09:00,15,7,2022
2.946,2.946,510050,2022-07-15 10:10:00,15,7,2022
2.944,2.944,510050,2022-07-15 10:11:00,15,7,2022
2.942,2.942,510050,2022-07-15 10:12:00,15,7,2022
2.941,2.941,510050,2022-07-15 10:13:00,15,7,2022
