股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
上证50ETF,510050,2023-05-18 09:31,2.655,2.652,2.657,2.651,85211,22617187.0,0.23,0.11,0.003,0.04
上证50ETF,510050,2023-05-18 09:32,2.652,2.653,2.654,2.652,55878,14824202.0,0.08,0.04,0.001,0.03
上证50ETF,510050,2023-05-18 09:33,2.653,2.656,2.656,2.653,58397,15503817.0,0.11,0.11,0.003,0.03
上证50ETF,510050,2023-05-18 09:34,2.657,2.656,2.658,2.656,43971,11680094.0,0.08,0.0,0.0,0.02
上证50ETF,510050,2023-05-18 09:35,2.655,2.658,2.658,2.655,66963,17788790.0,0.11,0.08,0.002,0.03
上证50ETF,510050,2023-05-18 09:36,2.658,2.66,2.66,2.657,91059,24208699.0,0.11,0.08,0.002,0.04
上证50ETF,510050,2023-05-18 09:37,2.66,2.66,2.662,2.66,35067,9329561.0,0.08,0.0,0.0,0.02
上证50ETF,510050,2023-05-18 09:38,2.66,2.659,2.66,2.657,38312,10187679.0,0.11,-0.04,-0.001,0.02
上证50ETF,510050,2023-05-18 09:39,2.659,2.658,2.659,2.657,10819,2876124.0,0.08,-0.04,-0.001,0.01
上证50ETF,510050,2023-05-18 09:40,2.657,2.656,2.657,2.656,26436,7022257.0,0.04,-0.08,-0.002,0.01
上证50ETF,510050,2023-05-18 09:41,2.656,2.653,2.656,2.653,20690,5491310.0,0.11,-0.11,-0.003,0.01
上证50ETF,510050,2023-05-18 09:42,2.655,2.656,2.656,2.653,23206,6158832.0,0.11,0.11,0.003,0.01
上证50ETF,510050,2023-05-18 09:43,2.656,2.654,2.656,2.654,8720,2315357.0,0.08,-0.08,-0.002,0.0
上证50ETF,510050,2023-05-18 09:44,2.654,2.655,2.655,2.654,57002,15133505.0,0.04,0.04,0.001,0.03
上证50ETF,510050,2023-05-18 09:45,2.655,2.655,2.656,2.654,12620,3350091.0,0.08,0.0,0.0,0.01
上证50ETF,510050,2023-05-18 09:46,2.655,2.656,2.657,2.655,12983,3448716.0,0.08,0.04,0.001,0.01
上证50ETF,510050,2023-05-18 09:47,2.655,2.65,2.655,2.65,45007,11935884.0,0.19,-0.23,-0.006,0.02
上证50ETF,510050,2023-05-18 09:48,2.65,2.651,2.652,2.65,23602,6257671.0,0.08,0.04,0.001,0.01
上证50ETF,510050,2023-05-18 09:49,2.652,2.653,2.653,2.651,20075,5323427.0,0.08,0.08,0.002,0.01
上证50ETF,510050,2023-05-18 09:50,2.652,2.653,2.653,2.652,20363,5401342.0,0.04,0.0,0.0,0.01
上证50ETF,510050,2023-05-18 09:51,2.653,2.653,2.653,2.652,12634,3351733.0,0.04,0.0,0.0,0.01
上证50ETF,510050,2023-05-18 09:52,2.652,2.649,2.653,2.649,35365,9376629.0,0.15,-0.15,-0.004,0.02
上证50ETF,510050,2023-05-18 09:53,2.65,2.651,2.651,2.649,10541,2793033.0,0.08,0.08,0.002,0.01
上证50ETF,510050,2023-05-18 09:54,2.651,2.651,2.652,2.65,4678,1240140.0,0.08,0.0,0.0,0.0
上证50ETF,510050,2023-05-18 09:55,2.651,2.652,2.653,2.651,15337,4067242.0,0.08,0.04,0.001,0.01
上证50ETF,510050,2023-05-18 09:56,2.652,2.652,2.652,2.651,8782,2328743.0,0.04,0.0,0.0,0.0
上证50ETF,510050,2023-05-18 09:57,2.652,2.657,2.657,2.652,21237,5637155.0,0.19,0.19,0.005,0.01
上证50ETF,510050,2023-05-18 09:58,2.657,2.656,2.658,2.656,11267,2993924.0,0.08,-0.04,-0.001,0.01
上证50ETF,510050,2023-05-18 09:59,2.656,2.657,2.657,2.656,22868,6076547.0,0.04,0.04,0.001,0.01
上证50ETF,510050,2023-05-18 10:00,2.657,2.656,2.657,2.656,18082,4804328.0,0.04,-0.04,-0.001,0.01
上证50ETF,510050,2023-05-18 10:01,2.658,2.658,2.658,2.656,7114,1890006.0,0.08,0.08,0.002,0.0
上证50ETF,510050,2023-05-18 10:02,2.657,2.66,2.66,2.657,46280,12307176.0,0.11,0.08,0.002,0.02
上证50ETF,510050,2023-05-18 10:03,2.66,2.659,2.661,2.659,24813,6598521.0,0.08,-0.04,-0.001,0.01
上证50ETF,510050,2023-05-18 10:04,2.659,2.661,2.661,2.659,58852,15657036.0,0.08,0.08,0.002,0.03
上证50ETF,510050,2023-05-18 10:05,2.661,2.664,2.664,2.661,64299,17119908.0,0.11,0.11,0.003,0.03
上证50ETF,510050,2023-05-18 10:06,2.664,2.665,2.665,2.663,41890,11160266.0,0.08,0.04,0.001,0.02
上证50ETF,510050,2023-05-18 10:07,2.664,2.662,2.665,2.662,9247,2463164.0,0.11,-0.11,-0.003,0.0
上证50ETF,510050,2023-05-18 10:08,2.662,2.664,2.664,2.662,28478,7585053.0,0.08,0.08,0.002,0.01
上证50ETF,510050,2023-05-18 10:09,2.664,2.663,2.664,2.663,35237,9385369.0,0.04,-0.04,-0.001,0.02
上证50ETF,510050,2023-05-18 10:10,2.662,2.662,2.662,2.661,40128,10680957.0,0.04,-0.04,-0.001,0.02
上证50ETF,510050,2023-05-18 10:11,2.663,2.663,2.663,2.663,4825,1284891.0,0.0,0.04,0.001,0.0
