开盘,收盘,股票代码,日期,day,month,year
2.879,2.879,510050,2022-07-28 09:30:00,28,7,2022
2.882,2.882,510050,2022-07-28 09:31:00,28,7,2022
2.88,2.88,510050,2022-07-28 09:32:00,28,7,2022
2.882,2.882,510050,2022-07-28 09:33:00,28,7,2022
2.882,2.882,510050,2022-07-28 09:34:00,28,7,2022
2.885,2.885,510050,2022-07-28 09:35:00,28,7,2022
2.882,2.882,510050,2022-07-28 09:36:00,28,7,2022
2.881,2.881,510050,2022-07-28 09:37:00,28,7,2022
2.881,2.881,510050,2022-07-28 09:38:00,28,7,2022
2.881,2.881,510050,2022-07-28 09:39:00,28,7,2022
2.878,2.878,510050,2022-07-28 09:40:00,28,7,2022
2.875,2.875,510050,2022-07-28 09:41:00,28,7,2022
2.874,2.874,510050,2022-07-28 09:42:00,28,7,2022
2.874,2.874,510050,2022-07-28 09:43:00,28,7,2022
2.875,2.875,510050,2022-07-28 09:44:00,28,7,2022
2.875,2.875,510050,2022-07-28 09:45:00,28,7,2022
2.875,2.875,510050,2022-07-28 09:46:00,28,7,2022
2.875,2.875,510050,2022-07-28 09:47:00,28,7,2022
2.875,2.875,510050,2022-07-28 09:48:00,28,7,2022
2.873,2.873,510050,2022-07-28 09:49:00,28,7,2022
2.875,2.875,510050,2022-07-28 09:50:00,28,7,2022
2.876,2.876,510050,2022-07-28 09:51:00,28,7,2022
2.875,2.875,510050,2022-07-28 09:52:00,28,7,2022
2.875,2.875,510050,2022-07-28 09:53:00,28,7,2022
2.873,2.873,510050,2022-07-28 09:54:00,28,7,2022
2.874,2.874,510050,2022-07-28 09:55:00,28,7,2022
2.876,2.876,510050,2022-07-28 09:56:00,28,7,2022
2.875,2.875,510050,2022-07-28 09:57:00,28,7,2022
2.876,2.876,510050,2022-07-28 09:58:00,28,7,2022
2.877,2.877,510050,2022-07-28 09:59:00,28,7,2022
2.877,2.877,510050,2022-07-28 10:00:00,28,7,2022
2.876,2.876,510050,2022-07-28 10:01:00,28,7,2022
2.877,2.877,510050,2022-07-28 10:02:00,28,7,2022
2.876,2.876,510050,2022-07-28 10:03:00,28,7,2022
2.875,2.875,510050,2022-07-28 10:04:00,28,7,2022
2.875,2.875,510050,2022-07-28 10:05:00,28,7,2022
2.875,2.875,510050,2022-07-28 10:06:00,28,7,2022
2.875,2.875,510050,2022-07-28 10:07:00,28,7,2022
2.872,2.872,510050,2022-07-28 10:08:00,28,7,2022
2.873,2.873,510050,2022-07-28 10:09:00,28,7,2022
2.874,2.874,510050,2022-07-28 10:10:00,28,7,2022
2.876,2.876,510050,2022-07-28 10:11:00,28,7,2022
2.875,2.875,510050,2022-07-28 10:12:00,28,7,2022
2.876,2.876,510050,2022-07-28 10:13:00,28,7,2022
2.878,2.878,510050,2022-07-28 10:14:00,28,7,2022
2.88,2.88,510050,2022-07-28 10:15:00,28,7,2022
2.881,2.881,510050,2022-07-28 10:16:00,28,7,2022
2.881,2.881,510050,2022-07-28 10:17:00,28,7,2022
2.883,2.883,510050,2022-07-28 10:18:00,28,7,2022
2.889,2.889,510050,2022-07-28 10:19:00,28,7,2022
2.893,2.893,510050,2022-07-28 10:20:00,28,7,2022
2.897,2.897,510050,2022-07-28 10:21:00,28,7,2022
2.898,2.898,510050,2022-07-28 10:22:00,28,7,2022
