开盘,收盘,股票代码,日期,day,month,year
2.881,2.881,510050,2022-07-22 09:30:00,22,7,2022
2.881,2.881,510050,2022-07-22 09:31:00,22,7,2022
2.885,2.885,510050,2022-07-22 09:32:00,22,7,2022
2.882,2.882,510050,2022-07-22 09:33:00,22,7,2022
2.885,2.885,510050,2022-07-22 09:34:00,22,7,2022
2.885,2.885,510050,2022-07-22 09:35:00,22,7,2022
2.888,2.888,510050,2022-07-22 09:36:00,22,7,2022
2.892,2.892,510050,2022-07-22 09:37:00,22,7,2022
2.89,2.89,510050,2022-07-22 09:38:00,22,7,2022
2.891,2.891,510050,2022-07-22 09:39:00,22,7,2022
2.894,2.894,510050,2022-07-22 09:40:00,22,7,2022
2.903,2.903,510050,2022-07-22 09:41:00,22,7,2022
2.91,2.91,510050,2022-07-22 09:42:00,22,7,2022
2.91,2.91,510050,2022-07-22 09:43:00,22,7,2022
2.908,2.908,510050,2022-07-22 09:44:00,22,7,2022
2.905,2.905,510050,2022-07-22 09:45:00,22,7,2022
2.905,2.905,510050,2022-07-22 09:46:00,22,7,2022
2.904,2.904,510050,2022-07-22 09:47:00,22,7,2022
2.904,2.904,510050,2022-07-22 09:48:00,22,7,2022
2.904,2.904,510050,2022-07-22 09:49:00,22,7,2022
2.902,2.902,510050,2022-07-22 09:50:00,22,7,2022
2.901,2.901,510050,2022-07-22 09:51:00,22,7,2022
2.898,2.898,510050,2022-07-22 09:52:00,22,7,2022
2.9,2.9,510050,2022-07-22 09:53:00,22,7,2022
2.9,2.9,510050,2022-07-22 09:54:00,22,7,2022
2.902,2.902,510050,2022-07-22 09:55:00,22,7,2022
2.902,2.902,510050,2022-07-22 09:56:00,22,7,2022
2.902,2.902,510050,2022-07-22 09:57:00,22,7,2022
2.902,2.902,510050,2022-07-22 09:58:00,22,7,2022
2.9,2.9,510050,2022-07-22 09:59:00,22,7,2022
2.9,2.9,510050,2022-07-22 10:00:00,22,7,2022
2.902,2.902,510050,2022-07-22 10:01:00,22,7,2022
2.903,2.903,510050,2022-07-22 10:02:00,22,7,2022
2.901,2.901,510050,2022-07-22 10:03:00,22,7,2022
2.903,2.903,510050,2022-07-22 10:04:00,22,7,2022
2.904,2.904,510050,2022-07-22 10:05:00,22,7,2022
2.907,2.907,510050,2022-07-22 10:06:00,22,7,2022
2.904,2.904,510050,2022-07-22 10:07:00,22,7,2022
2.905,2.905,510050,2022-07-22 10:08:00,22,7,2022
2.905,2.905,510050,2022-07-22 10:09:00,22,7,2022
2.905,2.905,510050,2022-07-22 10:10:00,22,7,2022
2.905,2.905,510050,2022-07-22 10:11:00,22,7,2022
2.906,2.906,510050,2022-07-22 10:12:00,22,7,2022
2.906,2.906,510050,2022-07-22 10:13:00,22,7,2022
2.903,2.903,510050,2022-07-22 10:14:00,22,7,2022
2.902,2.902,510050,2022-07-22 10:15:00,22,7,2022
2.902,2.902,510050,2022-07-22 10:16:00,22,7,2022
2.902,2.902,510050,2022-07-22 10:17:00,22,7,2022
2.903,2.903,510050,2022-07-22 10:18:00,22,7,2022
2.905,2.905,510050,2022-07-22 10:19:00,22,7,2022
2.905,2.905,510050,2022-07-22 10:20:00,22,7,2022
2.908,2.908,510050,2022-07-22 10:21:00,22,7,2022
2.906,2.906,510050,2022-07-22 10:22:00,22,7,2022
2.906,2.906,510050,2022-07-22 10:23:00,22,7,2022
2.905,2.905,510050,2022-07-22 10:24:00,22,7,2022
2.904,2.904,510050,2022-07-22 10:25:00,22,7,2022
2.906,2.906,510050,2022-07-22 10:26:00,22,7,2022
2.907,2.907,510050,2022-07-22 10:27:00,22,7,2022
2.906,2.906,510050,2022-07-22 10:28:00,22,7,2022
2.902,2.902,510050,2022-07-22 10:29:00,22,7,2022
2.903,2.903,510050,2022-07-22 10:30:00,22,7,2022
2.904,2.904,510050,2022-07-22 10:31:00,22,7,2022
2.904,2.904,510050,2022-07-22 10:32:00,22,7,2022
2.901,2.901,510050,2022-07-22 10:33:00,22,7,2022
2.901,2.901,510050,2022-07-22 10:34:00,22,7,2022
2.901,2.901,510050,2022-07-22 10:35:00,22,7,2022
2.898,2.898,510050,2022-07-22 10:36:00,22,7,2022
2.897,2.897,510050,2022-07-22 10:37:00,22,7,2022
2.896,2.896,510050,2022-07-22 10:38:00,22,7,2022
2.897,2.897,510050,2022-07-22 10:39:00,22,7,2022
2.897,2.897,510050,2022-07-22 10:40:00,22,7,2022
2.896,2.896,510050,2022-07-22 10:41:00,22,7,2022
2.893,2.893,510050,2022-07-22 10:42:00,22,7,2022
2.894,2.894,510050,2022-07-22 10:43:00,22,7,2022
2.895,2.895,510050,2022-07-22 10:44:00,22,7,2022
2.895,2.895,510050,2022-07-22 10:45:00,22,7,2022
2.894,2.894,510050,2022-07-22 10:46:00,22,7,2022
2.894,2.894,510050,2022-07-22 10:47:00,22,7,2022
2.896,2.896,510050,2022-07-22 10:48:00,22,7,2022
2.895,2.895,510050,2022-07-22 10:49:00,22,7,2022
2.894,2.894,510050,2022-07-22 10:50:00,22,7,2022
2.893,2.893,510050,2022-07-22 10:51:00,22,7,2022
2.891,2.891,510050,2022-07-22 10:52:00,22,7,2022
2.893,2.893,510050,2022-07-22 10:53:00,22,7,2022
2.894,2.894,510050,2022-07-22 10:54:00,22,7,2022
2.894,2.894,510050,2022-07-22 10:55:00,22,7,2022
2.894,2.894,510050,2022-07-22 10:56:00,22,7,2022
2.893,2.893,510050,2022-07-22 10:57:00,22,7,2022
2.893,2.893,510050,2022-07-22 10:58:00,22,7,2022
2.892,2.892,510050,2022-07-22 10:59:00,22,7,2022
2.891,2.891,510050,2022-07-22 11:00:00,22,7,2022
2.89,2.89,510050,2022-07-22 11:01:00,22,7,2022
2.894,2.894,510050,2022-07-22 11:02:00,22,7,2022
2.893,2.893,510050,2022-07-22 11:03:00,22,7,2022
2.892,2.892,510050,2022-07-22 11:04:00,22,7,2022
2.894,2.894,510050,2022-07-22 11:05:00,22,7,2022
2.894,2.894,510050,2022-07-22 11:06:00,22,7,2022
2.894,2.894,510050,2022-07-22 11:07:00,22,7,2022
2.893,2.893,510050,2022-07-22 11:08:00,22,7,2022
2.893,2.893,510050,2022-07-22 11:09:00,22,7,2022
2.892,2.892,510050,2022-07-22 11:10:00,22,7,2022
2.894,2.894,510050,2022-07-22 11:11:00,22,7,2022
2.894,2.894,510050,2022-07-22 11:12:00,22,7,2022
2.891,2.891,510050,2022-07-22 11:13:00,22,7,2022
2.892,2.892,510050,2022-07-22 11:14:00,22,7,2022
2.892,2.892,510050,2022-07-22 11:15:00,22,7,2022
2.891,2.891,510050,2022-07-22 11:16:00,22,7,2022
2.891,2.891,510050,2022-07-22 11:17:00,22,7,2022
2.888,2.888,510050,2022-07-22 11:18:00,22,7,2022
2.886,2.886,510050,2022-07-22 11:19:00,22,7,2022
2.885,2.885,510050,2022-07-22 11:20:00,22,7,2022
2.883,2.883,510050,2022-07-22 11:21:00,22,7,2022
2.886,2.886,510050,2022-07-22 11:22:00,22,7,2022
2.884,2.884,510050,2022-07-22 11:23:00,22,7,2022
2.879,2.879,510050,2022-07-22 11:24:00,22,7,2022
2.881,2.881,510050,2022-07-22 11:25:00,22,7,2022
2.881,2.881,510050,2022-07-22 11:26:00,22,7,2022
2.882,2.882,510050,2022-07-22 11:27:00,22,7,2022
2.881,2.881,510050,2022-07-22 11:28:00,22,7,2022
2.881,2.881,510050,2022-07-22 11:29:00,22,7,2022
2.881,2.881,510050,2022-07-22 11:30:00,22,7,2022
2.879,2.879,510050,2022-07-22 13:01:00,22,7,2022
2.878,2.878,510050,2022-07-22 13:02:00,22,7,2022
2.879,2.879,510050,2022-07-22 13:03:00,22,7,2022
2.881,2.881,510050,2022-07-22 13:04:00,22,7,2022
2.881,2.881,510050,2022-07-22 13:05:00,22,7,2022
2.881,2.881,510050,2022-07-22 13:06:00,22,7,2022
2.881,2.881,510050,2022-07-22 13:07:00,22,7,2022
2.884,2.884,510050,2022-07-22 13:08:00,22,7,2022
2.884,2.884,510050,2022-07-22 13:09:00,22,7,2022
2.884,2.884,510050,2022-07-22 13:10:00,22,7,2022
2.884,2.884,510050,2022-07-22 13:11:00,22,7,2022
2.883,2.883,510050,2022-07-22 13:12:00,22,7,2022
2.883,2.883,510050,2022-07-22 13:13:00,22,7,2022
2.885,2.885,510050,2022-07-22 13:14:00,22,7,2022
2.886,2.886,510050,2022-07-22 13:15:00,22,7,2022
2.885,2.885,510050,2022-07-22 13:16:00,22,7,2022
2.883,2.883,510050,2022-07-22 13:17:00,22,7,2022
2.885,2.885,510050,2022-07-22 13:18:00,22,7,2022
2.884,2.884,510050,2022-07-22 13:19:00,22,7,2022
2.883,2.883,510050,2022-07-22 13:20:00,22,7,2022
2.884,2.884,510050,2022-07-22 13:21:00,22,7,2022
2.883,2.883,510050,2022-07-22 13:22:00,22,7,2022
2.883,2.883,510050,2022-07-22 13:23:00,22,7,2022
2.882,2.882,510050,2022-07-22 13:24:00,22,7,2022
2.882,2.882,510050,2022-07-22 13:25:00,22,7,2022
2.882,2.882,510050,2022-07-22 13:26:00,22,7,2022
2.88,2.88,510050,2022-07-22 13:27:00,22,7,2022
2.881,2.881,510050,2022-07-22 13:28:00,22,7,2022
2.881,2.881,510050,2022-07-22 13:29:00,22,7,2022
2.882,2.882,510050,2022-07-22 13:30:00,22,7,2022
2.879,2.879,510050,2022-07-22 13:31:00,22,7,2022
2.873,2.873,510050,2022-07-22 13:32:00,22,7,2022
2.871,2.871,510050,2022-07-22 13:33:00,22,7,2022
2.871,2.871,510050,2022-07-22 13:34:00,22,7,2022
2.873,2.873,510050,2022-07-22 13:35:00,22,7,2022
2.868,2.868,510050,2022-07-22 13:36:00,22,7,2022
2.873,2.873,510050,2022-07-22 13:37:00,22,7,2022
2.873,2.873,510050,2022-07-22 13:38:00,22,7,2022
2.873,2.873,510050,2022-07-22 13:39:00,22,7,2022
2.873,2.873,510050,2022-07-22 13:40:00,22,7,2022
2.872,2.872,510050,2022-07-22 13:41:00,22,7,2022
2.868,2.868,510050,2022-07-22 13:42:00,22,7,2022
2.869,2.869,510050,2022-07-22 13:43:00,22,7,2022
2.87,2.87,510050,2022-07-22 13:44:00,22,7,2022
2.87,2.87,510050,2022-07-22 13:45:00,22,7,2022
2.866,2.866,510050,2022-07-22 13:46:00,22,7,2022
2.868,2.868,510050,2022-07-22 13:47:00,22,7,2022
2.869,2.869,510050,2022-07-22 13:48:00,22,7,2022
2.871,2.871,510050,2022-07-22 13:49:00,22,7,2022
