开盘,收盘,股票代码,日期,day,month,year
2.878,2.878,510050,2022-07-18 09:30:00,18,7,2022
2.883,2.883,510050,2022-07-18 09:31:00,18,7,2022
2.877,2.877,510050,2022-07-18 09:32:00,18,7,2022
2.876,2.876,510050,2022-07-18 09:33:00,18,7,2022
2.877,2.877,510050,2022-07-18 09:34:00,18,7,2022
2.879,2.879,510050,2022-07-18 09:35:00,18,7,2022
2.876,2.876,510050,2022-07-18 09:36:00,18,7,2022
2.872,2.872,510050,2022-07-18 09:37:00,18,7,2022
2.868,2.868,510050,2022-07-18 09:38:00,18,7,2022
2.869,2.869,510050,2022-07-18 09:39:00,18,7,2022
2.866,2.866,510050,2022-07-18 09:40:00,18,7,2022
2.864,2.864,510050,2022-07-18 09:41:00,18,7,2022
2.869,2.869,510050,2022-07-18 09:42:00,18,7,2022
2.872,2.872,510050,2022-07-18 09:43:00,18,7,2022
2.877,2.877,510050,2022-07-18 09:44:00,18,7,2022
2.875,2.875,510050,2022-07-18 09:45:00,18,7,2022
2.875,2.875,510050,2022-07-18 09:46:00,18,7,2022
2.874,2.874,510050,2022-07-18 09:47:00,18,7,2022
2.874,2.874,510050,2022-07-18 09:48:00,18,7,2022
2.877,2.877,510050,2022-07-18 09:49:00,18,7,2022
2.878,2.878,510050,2022-07-18 09:50:00,18,7,2022
2.884,2.884,510050,2022-07-18 09:51:00,18,7,2022
2.885,2.885,510050,2022-07-18 09:52:00,18,7,2022
2.888,2.888,510050,2022-07-18 09:53:00,18,7,2022
2.887,2.887,510050,2022-07-18 09:54:00,18,7,2022
2.889,2.889,510050,2022-07-18 09:55:00,18,7,2022
2.885,2.885,510050,2022-07-18 09:56:00,18,7,2022
2.885,2.885,510050,2022-07-18 09:57:00,18,7,2022
2.888,2.888,510050,2022-07-18 09:58:00,18,7,2022
2.887,2.887,510050,2022-07-18 09:59:00,18,7,2022
2.885,2.885,510050,2022-07-18 10:00:00,18,7,2022
2.888,2.888,510050,2022-07-18 10:01:00,18,7,2022
2.89,2.89,510050,2022-07-18 10:02:00,18,7,2022
2.888,2.888,510050,2022-07-18 10:03:00,18,7,2022
2.886,2.886,510050,2022-07-18 10:04:00,18,7,2022
2.884,2.884,510050,2022-07-18 10:05:00,18,7,2022
2.883,2.883,510050,2022-07-18 10:06:00,18,7,2022
2.882,2.882,510050,2022-07-18 10:07:00,18,7,2022
2.882,2.882,510050,2022-07-18 10:08:00,18,7,2022
2.883,2.883,510050,2022-07-18 10:09:00,18,7,2022
2.882,2.882,510050,2022-07-18 10:10:00,18,7,2022
2.882,2.882,510050,2022-07-18 10:11:00,18,7,2022
2.885,2.885,510050,2022-07-18 10:12:00,18,7,2022
2.884,2.884,510050,2022-07-18 10:13:00,18,7,2022
2.88,2.88,510050,2022-07-18 10:14:00,18,7,2022
2.879,2.879,510050,2022-07-18 10:15:00,18,7,2022
2.883,2.883,510050,2022-07-18 10:16:00,18,7,2022
2.882,2.882,510050,2022-07-18 10:17:00,18,7,2022
2.883,2.883,510050,2022-07-18 10:18:00,18,7,2022
2.887,2.887,510050,2022-07-18 10:19:00,18,7,2022
2.89,2.89,510050,2022-07-18 10:20:00,18,7,2022
2.89,2.89,510050,2022-07-18 10:21:00,18,7,2022
2.89,2.89,510050,2022-07-18 10:22:00,18,7,2022
2.891,2.891,510050,2022-07-18 10:23:00,18,7,2022
2.891,2.891,510050,2022-07-18 10:24:00,18,7,2022
2.889,2.889,510050,2022-07-18 10:25:00,18,7,2022
2.89,2.89,510050,2022-07-18 10:26:00,18,7,2022
2.891,2.891,510050,2022-07-18 10:27:00,18,7,2022
2.89,2.89,510050,2022-07-18 10:28:00,18,7,2022
2.89,2.89,510050,2022-07-18 10:29:00,18,7,2022
2.888,2.888,510050,2022-07-18 10:30:00,18,7,2022
2.894,2.894,510050,2022-07-18 10:31:00,18,7,2022
2.902,2.902,510050,2022-07-18 10:32:00,18,7,2022
2.903,2.903,510050,2022-07-18 10:33:00,18,7,2022
2.9,2.9,510050,2022-07-18 10:34:00,18,7,2022
2.9,2.9,510050,2022-07-18 10:35:00,18,7,2022
2.9,2.9,510050,2022-07-18 10:36:00,18,7,2022
2.902,2.902,510050,2022-07-18 10:37:00,18,7,2022
2.902,2.902,510050,2022-07-18 10:38:00,18,7,2022
2.903,2.903,510050,2022-07-18 10:39:00,18,7,2022
2.9,2.9,510050,2022-07-18 10:40:00,18,7,2022
2.902,2.902,510050,2022-07-18 10:41:00,18,7,2022
2.903,2.903,510050,2022-07-18 10:42:00,18,7,2022
2.903,2.903,510050,2022-07-18 10:43:00,18,7,2022
2.903,2.903,510050,2022-07-18 10:44:00,18,7,2022
2.903,2.903,510050,2022-07-18 10:45:00,18,7,2022
2.905,2.905,510050,2022-07-18 10:46:00,18,7,2022
2.903,2.903,510050,2022-07-18 10:47:00,18,7,2022
2.905,2.905,510050,2022-07-18 10:48:00,18,7,2022
2.9,2.9,510050,2022-07-18 10:49:00,18,7,2022
2.9,2.9,510050,2022-07-18 10:50:00,18,7,2022
2.903,2.903,510050,2022-07-18 10:51:00,18,7,2022
2.903,2.903,510050,2022-07-18 10:52:00,18,7,2022
2.903,2.903,510050,2022-07-18 10:53:00,18,7,2022
2.904,2.904,510050,2022-07-18 10:54:00,18,7,2022
2.904,2.904,510050,2022-07-18 10:55:00,18,7,2022
2.905,2.905,510050,2022-07-18 10:56:00,18,7,2022
2.905,2.905,510050,2022-07-18 10:57:00,18,7,2022
2.902,2.902,510050,2022-07-18 10:58:00,18,7,2022
2.899,2.899,510050,2022-07-18 10:59:00,18,7,2022
2.901,2.901,510050,2022-07-18 11:00:00,18,7,2022
2.902,2.902,510050,2022-07-18 11:01:00,18,7,2022
2.902,2.902,510050,2022-07-18 11:02:00,18,7,2022
2.902,2.902,510050,2022-07-18 11:03:00,18,7,2022
2.901,2.901,510050,2022-07-18 11:04:00,18,7,2022
2.902,2.902,510050,2022-07-18 11:05:00,18,7,2022
2.906,2.906,510050,2022-07-18 11:06:00,18,7,2022
2.905,2.905,510050,2022-07-18 11:07:00,18,7,2022
2.906,2.906,510050,2022-07-18 11:08:00,18,7,2022
2.906,2.906,510050,2022-07-18 11:09:00,18,7,2022
2.906,2.906,510050,2022-07-18 11:10:00,18,7,2022
2.905,2.905,510050,2022-07-18 11:11:00,18,7,2022
2.907,2.907,510050,2022-07-18 11:12:00,18,7,2022
2.907,2.907,510050,2022-07-18 11:13:00,18,7,2022
2.907,2.907,510050,2022-07-18 11:14:00,18,7,2022
2.905,2.905,510050,2022-07-18 11:15:00,18,7,2022
2.908,2.908,510050,2022-07-18 11:16:00,18,7,2022
2.907,2.907,510050,2022-07-18 11:17:00,18,7,2022
2.906,2.906,510050,2022-07-18 11:18:00,18,7,2022
2.905,2.905,510050,2022-07-18 11:19:00,18,7,2022
2.905,2.905,510050,2022-07-18 11:20:00,18,7,2022
2.906,2.906,510050,2022-07-18 11:21:00,18,7,2022
2.908,2.908,510050,2022-07-18 11:22:00,18,7,2022
2.912,2.912,510050,2022-07-18 11:23:00,18,7,2022
2.912,2.912,510050,2022-07-18 11:24:00,18,7,2022
2.912,2.912,510050,2022-07-18 11:25:00,18,7,2022
2.91,2.91,510050,2022-07-18 11:26:00,18,7,2022
2.914,2.914,510050,2022-07-18 11:27:00,18,7,2022
2.915,2.915,510050,2022-07-18 11:28:00,18,7,2022
2.917,2.917,510050,2022-07-18 11:29:00,18,7,2022
2.916,2.916,510050,2022-07-18 11:30:00,18,7,2022
2.917,2.917,510050,2022-07-18 13:01:00,18,7,2022
2.915,2.915,510050,2022-07-18 13:02:00,18,7,2022
2.916,2.916,510050,2022-07-18 13:03:00,18,7,2022
2.914,2.914,510050,2022-07-18 13:04:00,18,7,2022
2.912,2.912,510050,2022-07-18 13:05:00,18,7,2022
2.914,2.914,510050,2022-07-18 13:06:00,18,7,2022
2.914,2.914,510050,2022-07-18 13:07:00,18,7,2022
2.912,2.912,510050,2022-07-18 13:08:00,18,7,2022
2.912,2.912,510050,2022-07-18 13:09:00,18,7,2022
2.911,2.911,510050,2022-07-18 13:10:00,18,7,2022
2.913,2.913,510050,2022-07-18 13:11:00,18,7,2022
2.912,2.912,510050,2022-07-18 13:12:00,18,7,2022
2.912,2.912,510050,2022-07-18 13:13:00,18,7,2022
2.912,2.912,510050,2022-07-18 13:14:00,18,7,2022
2.912,2.912,510050,2022-07-18 13:15:00,18,7,2022
2.915,2.915,510050,2022-07-18 13:16:00,18,7,2022
2.916,2.916,510050,2022-07-18 13:17:00,18,7,2022
2.913,2.913,510050,2022-07-18 13:18:00,18,7,2022
2.912,2.912,510050,2022-07-18 13:19:00,18,7,2022
2.911,2.911,510050,2022-07-18 13:20:00,18,7,2022
2.912,2.912,510050,2022-07-18 13:21:00,18,7,2022
2.911,2.911,510050,2022-07-18 13:22:00,18,7,2022
2.911,2.911,510050,2022-07-18 13:23:00,18,7,2022
2.911,2.911,510050,2022-07-18 13:24:00,18,7,2022
2.911,2.911,510050,2022-07-18 13:25:00,18,7,2022
2.91,2.91,510050,2022-07-18 13:26:00,18,7,2022
2.912,2.912,510050,2022-07-18 13:27:00,18,7,2022
2.913,2.913,510050,2022-07-18 13:28:00,18,7,2022
2.912,2.912,510050,2022-07-18 13:29:00,18,7,2022
2.913,2.913,510050,2022-07-18 13:30:00,18,7,2022
2.911,2.911,510050,2022-07-18 13:31:00,18,7,2022
2.912,2.912,510050,2022-07-18 13:32:00,18,7,2022
2.913,2.913,510050,2022-07-18 13:33:00,18,7,2022
2.911,2.911,510050,2022-07-18 13:34:00,18,7,2022
2.911,2.911,510050,2022-07-18 13:35:00,18,7,2022
2.908,2.908,510050,2022-07-18 13:36:00,18,7,2022
2.906,2.906,510050,2022-07-18 13:37:00,18,7,2022
2.906,2.906,510050,2022-07-18 13:38:00,18,7,2022
2.906,2.906,510050,2022-07-18 13:39:00,18,7,2022
2.906,2.906,510050,2022-07-18 13:40:00,18,7,2022
2.907,2.907,510050,2022-07-18 13:41:00,18,7,2022
2.908,2.908,510050,2022-07-18 13:42:00,18,7,2022
2.91,2.91,510050,2022-07-18 13:43:00,18,7,2022
2.91,2.91,510050,2022-07-18 13:44:00,18,7,2022
2.91,2.91,510050,2022-07-18 13:45:00,18,7,2022
